OBJECTID,Longitude,Latitude,Name,Notes,CreationDa,Creator,EditDate,Editor,GlobalID,State,Field
1,-112.95229,46.13005,Smelter City Brewing,"101 Main St, Anaconda MT, (406)563-0344, www.facebook.com/SmelterCityBrewing/, Call",2018-04-28 0:00:00,pjdohertygis,2018-04-28 0:00:00,pjdohertygis,{AA775761-3639-4D58-8D3A-E849C75374F1},Montana,0
2,-111.17081,45.77303,Big Hole Brewing,"401 East Main St, Belgrade MT, (406)388-7953, Call",2018-04-28 0:00:00,pjdohertygis,2018-04-28 0:00:00,pjdohertygis,{47F8DAED-745E-4866-833E-9F0FDE125183},Montana,0
3,-111.24869,45.8128,Madison River Brewing,"20900-B Frontage Road, Belgrade MT, (406)388-0322, Mon-Fri 2:00pm-8:00pm, Sat 4:00pm-8:00pm. Tours by appointment only",2018-04-28 0:00:00,pjdohertygis,2018-04-28 0:00:00,pjdohertygis,{EEFC63E6-0DD0-4FAB-8735-1F19F40D97CE},Montana,0
4,-111.17899,45.77389,Outlaw Brewing,"108 South Broadway, Belgrade MT, (406)388-9182, www.outlaw-brewing.com/, Open Daily 11:00am-8:00pm",2018-04-28 0:00:00,pjdohertygis,2018-04-28 0:00:00,pjdohertygis,{5B8492C7-D11A-470F-BE86-76A7EC630F3B},Montana,0
5,-110.92908,47.38122,Harvest Moon Brewery,"7 Fifth St South, Belt MT, (406)277-3188, www.harvestmoonbrew.com/, Mon-Wed 11:30am-11:00pm, Thu-Fri 11:30am-Midnight, Sun 11:30am-10:00pm",2018-04-28 0:00:00,pjdohertygis,2018-04-28 0:00:00,pjdohertygis,{C9E0311E-5AE0-42C5-BC5F-EA0F015CD67B},Montana,0
6,-111.25314,45.266,Lone Peak Brewery,"48 Market Place, Big Sky MT, (406)995-3939, Open daily 11:00am-8:30pm",2018-04-28 0:00:00,pjdohertygis,2018-04-28 0:00:00,pjdohertygis,{0305BF6C-680E-4EA2-AFA3-C69FFF972583},Montana,0
7,-114.08325,48.06429,Flathead Lake Brewing - Bigfork Pubhouse,"116 Holt Dr, Bigfork MT, (406)837-2004, flatheadlakebrewing.com/, Mon-Fri 4:00pm-10:00pm, Sat-Sun 11:00am-10:00pm",2018-04-28 0:00:00,pjdohertygis,2018-04-28 0:00:00,pjdohertygis,{4486081D-CB37-4383-8533-17B036AE2DEF},Montana,0
8,-114.04536,47.99779,Flathead Lake Brewing,"26008 East Lake Shore Dr, Bigfork MT, (406)837-0353, (Closed?) Spring/Summer(Mar–Aug) Noon-8pm daily; Fall/Winter(Sept–Feb) 3pm–8pm Mon-Fri, Noon–8pm Sat & Sun",2018-04-28 0:00:00,pjdohertygis,2018-04-28 0:00:00,pjdohertygis,{03FDC4B2-2E72-4E95-9AE6-A9621DDBF13B},Montana,0
9,-114.07865,48.07594,Raven Pub and Grill,"25999 Highway 35 South, Bigfork MT, (406)837-6096, (No Longer Brewing?) Open daily at 11:00am in the summer, 4:00pm in the winter",2018-04-28 0:00:00,pjdohertygis,2018-04-28 0:00:00,pjdohertygis,{7F921EC2-144A-4CA0-9C31-1FCD9CCA9C77},Montana,0
10,-111.30497,45.25984,Beehive Basin Brewery,"245 Town Center Ave #1C-D, Big Sky MT, (406)995-7444, www.beehivebasinbrewery.com, Open Daily noon-8pm",2018-04-28 0:00:00,pjdohertygis,2018-04-28 0:00:00,pjdohertygis,{EBC77CE4-3540-4AA4-89EC-216880ED56B2},Montana,0
11,-108.50085,45.78444,Angry Hank's Brewing,"2405 First Ave North, Billings MT, (406)252-3370, Closed? Mon-Sat 4:00-8:00",2018-04-28 0:00:00,pjdohertygis,2018-04-28 0:00:00,pjdohertygis,{29EB3895-B9CA-43E3-B04E-8EBA5EBE4AEF},Montana,0
12,-108.50832,45.7805,Angry Hank's #2,"20 North 30th St, Billings MT, (406)252-3370, angryhanks.com/, Mon-Fri 4-8pm, Sat 3-8pm",2018-04-28 0:00:00,pjdohertygis,2018-04-28 0:00:00,pjdohertygis,{75AFDD96-DC34-4381-8C30-4DD7B20A32A9},Montana,0
13,-108.5519,45.77735,Bones Brewing Pub & Eatery,"1425 Broadwater Ave, Billings MT, (406)839-9231, www.bonesbrewing.com/, Mon-Tue 11am-Midnight, Wed-Sat 11am-2am, Sun 10:30am-Midnight, Happy Hour Mon-Fri 4-7pm",2018-04-28 0:00:00,pjdohertygis,2018-04-28 0:00:00,pjdohertygis,{2A9470AB-4B61-4F1E-8DB6-F8E4E381CE3B},Montana,0
14,-108.59252,45.74429,Canyon Creek Brewing,"3060 Gabel Road, Billings MT, (406)656-2528, www.canyoncreekbrewing.com, Open daily 2:00pm-8:00pm",2018-04-28 0:00:00,pjdohertygis,2018-04-28 0:00:00,pjdohertygis,{06B4C029-2680-4765-8907-C521ED3B2A47},Montana,0
15,-108.50151,45.78287,Carter's Brewing,"2526 Montana Ave, Billings MT, (406)252-0663, Mon-Sat 4:00-8:00",2018-04-28 0:00:00,pjdohertygis,2018-04-28 0:00:00,pjdohertygis,{C80086A4-9673-4F1F-AAB7-FA73D673E2C8},Montana,0
16,-108.50821,45.7804,Thirsty Street Brewing Co,"3008 First Ave N, Billings MT, www.thirstystreet.com/, Mon-Thu 3:00pm-8:00pm, Fri-Sat noon-8:00pm, Sun noon-5:00pm",2018-04-28 0:00:00,pjdohertygis,2018-04-28 0:00:00,pjdohertygis,{E1E15C32-B663-43BB-881B-7F1D52BC8BCA},Montana,0
17,-108.50584,45.78217,Montana Brewing,"113 North Broadway, Billings MT, (406)252-9200, www.montanabrewingcompany.com/, Opens: Mon-Sat 11:00, Sun 12:00",2018-04-28 0:00:00,pjdohertygis,2018-04-28 0:00:00,pjdohertygis,{E57FACA1-6A6E-45B5-93D4-99E521D638FB},Montana,0
18,-108.49926,45.78415,Überbrew,"2305 Montana Ave, Billings MT, (406)534-6960, www.uberbrewmt.com/, Open daily 11:00am-9:00pm",2018-04-28 0:00:00,pjdohertygis,2018-04-28 0:00:00,pjdohertygis,{19A5DEF8-BAB2-4946-8036-DF64BC54C2DA},Montana,0
19,-108.49725,45.7862,Yellowstone Valley Brewing,"2123-B First Avenue North, Billings MT, (406)245-0918, Mon-Sat 4:00-8:00pm",2018-04-28 0:00:00,pjdohertygis,2018-04-28 0:00:00,pjdohertygis,{0A184D93-5946-4951-8A8A-174DA1427505},Montana,0
20,-111.03558,45.69295,406 Brewing Company,"101 East Oak St - Suite D, Bozeman MT, Open Daily Noon-8:00pm",2018-04-28 0:00:00,pjdohertygis,2018-04-28 0:00:00,pjdohertygis,{3683C152-886C-4290-8EDA-68A3107EF998},Montana,0
21,-111.02421,45.68428,Bozeman Brewing,"504 North Broadway, Bozeman MT, (406)585-9142, www.bozemanbrewing.com/, Sat-Thu 2-8pm, Fri Noon-8pm",2018-04-28 0:00:00,pjdohertygis,2018-04-28 0:00:00,pjdohertygis,{E2C568D1-0F67-462A-AD56-C76FB33490E5},Montana,0
22,-111.05211,45.66298,Bridger Brewing,"1609 South 11th Ave, Bozeman MT, (406)587-2124, www.bridgerbrewing.com/, Open Daily 11am-9pm",2018-04-28 0:00:00,pjdohertygis,2018-04-28 0:00:00,pjdohertygis,{0877C74C-EDDD-4DA8-B8BE-7749C238A4AE},Montana,0
23,-111.05314,45.66362,Bunkhouse Brewery,"1216-A West Lincoln St, Bozeman MT, (406)577-2074, bunkhousebrewery.com/, Mon-Sat noon-8:00pm",2018-04-28 0:00:00,pjdohertygis,2018-04-28 0:00:00,pjdohertygis,{A985C8B4-AAB5-42C4-8EB1-57B05D4F75C1},Montana,0
24,-111.03838,45.70248,MAP Brewing,"510 Manley Road, Bozeman MT, (406)587-4070, mapbrewing.com/, Open Daily noon-9pm",2018-04-28 0:00:00,pjdohertygis,2018-04-28 0:00:00,pjdohertygis,{837ECCF6-BAAA-4F42-B095-0FB3419A10AE},Montana,0
25,-111.07397,45.71501,Outlaw Brewing,"2876 North 27th St, Bozeman MT, (406)577-2403, outlaw-brewing.com/, Sun-Thu 2:00pm-8:00pm, Fri-Sat noon-8:00pm",2018-04-28 0:00:00,pjdohertygis,2018-04-28 0:00:00,pjdohertygis,{8B51CFB7-1590-4706-A16C-C091B813C280},Montana,0
26,-111.03028,45.67949,Spanish Peaks Brewing,"14 North Church St, Bozeman MT, (406)585-2296, www.blackdogales.com/, Call",2018-04-28 0:00:00,pjdohertygis,2018-04-28 0:00:00,pjdohertygis,{014B1E1D-D830-4C11-9700-8DC0D6FDB641},Montana,0
27,-111.0251,45.6849,True Dragon,"422 Plum Ave, Bozeman MT, (360)220-0563, www.truedragon.com, Call",2018-04-28 0:00:00,pjdohertygis,2018-04-28 0:00:00,pjdohertygis,{39FA6C5C-387C-439B-B9C3-C13F9491B36D},Montana,0
28,-111.03938,45.67952,White Dog Brewing Co,"121-B West Main St, Bozeman MT, www.whitedogbrewing.com/, Open daily noon-9:00pm",2018-04-28 0:00:00,pjdohertygis,2018-04-28 0:00:00,pjdohertygis,{E3910110-04FC-4273-89D2-3CBDE675C6C1},Montana,0
29,-112.5266,46.01237,Butte Brewing,"465 East Galena St, Butte MT, (406)494-7710, www.buttebrewing.com, Open daily noon-8:00pm",2018-04-28 0:00:00,pjdohertygis,2018-04-28 0:00:00,pjdohertygis,{6E74CC77-F8D6-4302-A2E8-CDC6FDDC0448},Montana,0
30,-112.53458,46.01306,CopperWild Brewing,"43 East Park S, Butte MT, (406)782-1700, www.trimbospizza.net/, Tue-Thu 11am-9pm, Fri-Sat 11am-10pm, Sun Noon-9pm",2018-04-28 0:00:00,pjdohertygis,2018-04-28 0:00:00,pjdohertygis,{8A4AAE0F-9B11-46A1-839E-C4F78B2AA627},Montana,0
31,-112.53547,46.01206,Muddy Creek Brewery,"2 East Galena St, Butte MT, www.muddycreekbrewery.com, Open daily 3:00pm-8:00pm",2018-04-28 0:00:00,pjdohertygis,2018-04-28 0:00:00,pjdohertygis,{ED7045E3-B732-4401-8E2B-30EF735C1410},Montana,0
32,-112.53874,46.01323,Quarry Brewing,"124 West Broadway St, Butte MT, (406)723-0245, Mon-Fri 3:00-8:00, Sat 1:00pm-8:00pm, Sun 1:00pm-6:00pm",2018-04-28 0:00:00,pjdohertygis,2018-04-28 0:00:00,pjdohertygis,{64A3D4F8-80FD-4064-889A-C3049D897529},Montana,0
33,-114.18106,48.37221,Backslope Brewing,"729 Nucleus Ave, Suite E, Columbia Falls MT, (406)250-6454, www.desertmountainbrewing.com, Mon-Sat Noon-8pm, Sun Noon-6pm",2018-04-28 0:00:00,pjdohertygis,2018-04-28 0:00:00,pjdohertygis,{7F36E8BE-D028-4CF2-8476-F14D4F41F372},Montana,0
34,-112.32674,48.63455,Cut Bank Creek Brewery,"315 East Railroad, Cut Bank MT, (406)229-0298, www.cutbankcreekbrewery.com/, Wed-Sat 10:00am-8:00pm",2018-04-28 0:00:00,pjdohertygis,2018-04-28 0:00:00,pjdohertygis,{A0C061BF-0A16-4724-BD4C-E5F4A3E74270},Montana,0
